dt,LandAverageTemperature,LandAverageTemperatureUncertainty
1750-01-01,3.0340000000000003,3.574
1750-02-01,3.083,3.702
1750-03-01,5.626,3.076
1750-04-01,8.49,2.451
1750-05-01,11.573,2.072
1750-06-01,12.937000000000001,1.724
1750-07-01,15.868,1.911
1750-08-01,14.75,2.231
1750-09-01,11.412999999999998,2.637
1750-10-01,6.366999999999999,2.668
1750-11-01,,
1750-12-01,2.772,2.97
1751-01-01,2.495,3.469
1751-02-01,0.963,3.827
1751-03-01,5.8,3.051
1751-04-01,7.67,2.3680000000000003
1751-05-01,,
1751-06-01,13.827,1.801
1751-07-01,,
1751-08-01,14.405,2.296
1751-09-01,10.673,2.656
1751-10-01,,
1751-11-01,,
1751-12-01,,
1752-01-01,0.3480000000000003,3.789
1752-02-01,,
1752-03-01,5.806,3.192
1752-04-01,8.264999999999999,2.398
1752-05-01,,
1752-06-01,,
1752-07-01,,
1752-08-01,,
1752-09-01,,
1752-10-01,7.838999999999999,2.754
1752-11-01,7.335,2.747
1752-12-01,5.086,2.982
1753-01-01,2.039,3.478
1753-02-01,0.7149999999999999,6.341
1753-03-01,5.4239999999999995,2.929
1753-04-01,8.272,3.177
1753-05-01,12.186,3.111
1753-06-01,14.585,2.59
1753-07-01,15.092,1.929
1753-08-01,14.148,2.4530000000000003
1753-09-01,13.322000000000001,2.5380000000000003
1753-10-01,8.962,2.585
1753-11-01,5.353,2.807
1753-12-01,0.5589999999999997,4.174
1754-01-01,1.574,5.02
1754-02-01,-1.2489999999999997,7.492000000000001
1754-03-01,3.677,3.3360000000000003
1754-04-01,11.61,3.293
1754-05-01,11.936,3.937
1754-06-01,14.388,3.366
1754-07-01,14.681,2.401
1754-08-01,13.556,1.892
1754-09-01,11.129000000000001,2.318
1754-10-01,9.582,2.529
1754-11-01,6.1610000000000005,3.048
1754-12-01,4.587,3.299
1755-01-01,1.067,4.6930000000000005
1755-02-01,-0.1080000000000001,5.857
1755-03-01,3.6069999999999998,3.909
1755-04-01,9.263,3.372
1755-05-01,12.880999999999998,4.151
1755-06-01,15.38,5.322
1755-07-01,14.397,1.936
1755-08-01,13.515,2.381
1755-09-01,11.773,3.4160000000000004
1755-10-01,9.97,3.931
1755-11-01,5.957999999999999,4.021
1755-12-01,2.5639999999999996,3.215
1756-01-01,3.887,3.513
1756-02-01,5.666,4.265
1756-03-01,4.192,5.574
1756-04-01,10.042,3.752
1756-05-01,14.163999999999998,2.608
1756-06-01,14.547,3.213
1756-07-01,13.905999999999999,2.192
1756-08-01,13.437000000000001,2.175
1756-09-01,12.652000000000001,2.954
1756-10-01,7.3119999999999985,2.201
1756-11-01,4.225,2.86
1756-12-01,2.165,3.841
1757-01-01,-0.27600000000000025,4.022
1757-02-01,3.704,4.261
1757-03-01,4.529,3.638
1757-04-01,8.245999999999999,4.3039999999999985
1757-05-01,13.039000000000001,4.98
1757-06-01,17.115,4.59
1757-07-01,17.61,4.322
1757-08-01,17.91,4.035
1757-09-01,14.852,3.189
1757-10-01,6.481999999999998,3.173
1757-11-01,4.032,2.643
1757-12-01,1.0210000000000004,5.155
1758-01-01,-1.5029999999999997,7.349
1758-02-01,0.8059999999999999,3.753
1758-03-01,3.765,3.3680000000000003
1758-04-01,7.209999999999999,2.986
1758-05-01,9.715,3.091
1758-06-01,13.139000000000001,2.055
1758-07-01,13.847000000000001,3.608
1758-08-01,11.818,2.979
1758-09-01,10.028,2.347
1758-10-01,1.8939999999999992,2.332
1758-11-01,6.955,3.2430000000000003
1758-12-01,3.249,3.244
1759-01-01,5.013999999999999,3.673
1759-02-01,4.082,5.966
1759-03-01,4.52,3.958
1759-04-01,5.983,3.159
1759-05-01,10.189,2.503
1759-06-01,13.512,2.232
1759-07-01,12.526,2.65
1759-08-01,14.587,5.626
1759-09-01,12.626,3.235
1759-10-01,8.267000000000001,2.983
1759-11-01,4.268000000000002,3.167
1759-12-01,0.2469999999999999,4.995
1760-01-01,-0.8109999999999999,4.567
1760-02-01,2.436,3.535
1760-03-01,1.864,4.666
1760-04-01,7.435999999999999,2.669
1760-05-01,10.661,1.857
1760-06-01,11.945,2.14
1760-07-01,12.887,2.567
1760-08-01,13.917,2.789
1760-09-01,11.197000000000001,3.865
1760-10-01,6.7010000000000005,3.422
1760-11-01,5.436,2.3480000000000003
1760-12-01,2.553,2.642
1761-01-01,0.6000000000000001,4.779
1761-02-01,2.735,3.775
1761-03-01,5.976,3.225
1761-04-01,7.321000000000001,1.652
1761-05-01,13.451,1.709
1761-06-01,16.820999999999998,3.1660000000000004
1761-07-01,19.021,2.696
1761-08-01,15.331,2.013
1761-09-01,12.534999999999998,4.075
1761-10-01,7.2269999999999985,3.932
1761-11-01,5.0889999999999995,2.248
1761-12-01,-0.8370000000000002,4.468
1762-01-01,6.8660000000000005,3.776
1762-02-01,4.801,7.88
1762-03-01,3.5280000000000005,4.1389999999999985
1762-04-01,9.019,2.199
1762-05-01,10.880999999999998,3.044
1762-06-01,13.499,3.3110000000000004
1762-07-01,14.72,1.966
1762-08-01,13.992,3.329
1762-09-01,10.326,3.2260000000000004
1762-10-01,6.156000000000001,2.879
1762-11-01,6.367000000000001,3.354
1762-12-01,3.123,3.188
1763-01-01,1.3690000000000002,6.415
1763-02-01,0.7709999999999999,4.102
1763-03-01,1.5760000000000003,4.635
1763-04-01,7.870999999999999,2.275
1763-05-01,10.701,2.736
1763-06-01,12.271,2.224
1763-07-01,16.391,1.754
1763-08-01,14.126,2.157
1763-09-01,11.378,2.827
1763-10-01,5.535,2.9610000000000003
1763-11-01,4.588,2.08
1763-12-01,3.384,3.653
1764-01-01,1.7409999999999999,3.628
1764-02-01,6.162000000000001,2.8680000000000003
1764-03-01,5.521,2.488
1764-04-01,7.879999999999999,3.159
1764-05-01,11.175,4.55
1764-06-01,11.723,1.707
1764-07-01,12.507,3.256
1764-08-01,12.282,1.259
1764-09-01,10.696,2.236
1764-10-01,10.011000000000001,2.515
1764-11-01,5.791,2.8280000000000003
1764-12-01,5.315,2.809
1765-01-01,3.78,4.928
1765-02-01,3.832,3.156
1765-03-01,6.859,2.442
1765-04-01,9.013,1.4480000000000002
1765-05-01,10.734000000000002,1.928
1765-06-01,10.832999999999998,1.453
1765-07-01,13.953,2.375
1765-08-01,13.12,1.872
1765-09-01,10.993,1.705
1765-10-01,7.904,1.533
1765-11-01,5.603,3.737
1765-12-01,2.399,2.556
1766-01-01,-0.7930000000000001,4.766
1766-02-01,4.896,3.741
1766-03-01,6.062,2.802
1766-04-01,8.007,2.084
1766-05-01,11.228,1.555
1766-06-01,13.653,3.745
1766-07-01,13.555,2.341
1766-08-01,13.758,2.5980000000000003
1766-09-01,12.25,2.855
1766-10-01,8.465,1.491
1766-11-01,7.4540000000000015,3.774
1766-12-01,2.333,2.278
1767-01-01,-0.6430000000000002,5.6560000000000015
1767-02-01,3.932,4.973
1767-03-01,7.022,4.418
1767-04-01,6.278,3.557
1767-05-01,10.193,1.501
1767-06-01,14.112,1.426
1767-07-01,13.360999999999999,2.559
1767-08-01,14.597000000000001,1.466
1767-09-01,11.675,2.313
1767-10-01,9.027000000000001,1.611
1767-11-01,7.915,3.775
1767-12-01,1.189,2.297
1768-01-01,-2.08,3.027
1768-02-01,0.5060000000000002,3.04
1768-03-01,2.4459999999999997,2.157
1768-04-01,6.92,1.84
1768-05-01,9.066,2.4330000000000003
1768-06-01,12.489999999999998,1.729
1768-07-01,13.875,2.552
1768-08-01,12.352,2.046
1768-09-01,10.824000000000002,1.504
1768-10-01,7.728999999999999,2.5580000000000003
1768-11-01,4.581,2.02
1768-12-01,2.667,2.286
1769-01-01,2.305,3.76
1769-02-01,2.164,2.527
1769-03-01,4.57,2.225
1769-04-01,8.966999999999997,3.105
1769-05-01,12.873,1.753
1769-06-01,15.142000000000001,1.727
1769-07-01,14.460999999999999,3.669
1769-08-01,13.494000000000002,1.604
1769-09-01,11.25,1.598
1769-10-01,5.296999999999999,2.395
1769-11-01,2.79,2.267
1769-12-01,-0.9780000000000002,2.291
1770-01-01,1.974,4.275
1770-02-01,4.105,4.129
1770-03-01,1.6119999999999999,2.276
1770-04-01,9.788,3.516
1770-05-01,9.996,1.27
1770-06-01,11.884,3.395
1770-07-01,11.620999999999999,2.658
1770-08-01,11.413,3.14
1770-09-01,10.724,1.51
1770-10-01,8.661,1.6030000000000002
1770-11-01,5.791,2.7260000000000004
1770-12-01,4.734,2.87
1771-01-01,5.101,4.287
1771-02-01,-0.27399999999999997,3.218
1771-03-01,2.8139999999999996,3.237
1771-04-01,5.716999999999999,2.647
1771-05-01,9.626,3.088
1771-06-01,14.104000000000001,1.403
1771-07-01,13.828,1.435
1771-08-01,14.204,2.246
1771-09-01,11.363,1.515
1771-10-01,10.317,1.721
1771-11-01,4.916,2.952
1771-12-01,2.522,3.506
1772-01-01,1.253,4.624
1772-02-01,1.4780000000000002,5.962999999999999
1772-03-01,3.057,2.206
1772-04-01,8.857999999999997,1.524
1772-05-01,9.531,1.844
1772-06-01,12.646999999999998,2.4290000000000003
1772-07-01,14.581,1.409
1772-08-01,14.097999999999999,1.641
1772-09-01,10.303,1.334
1772-10-01,9.268,1.386
1772-11-01,7.736000000000001,2.582
1772-12-01,5.5120000000000005,2.624
1773-01-01,-0.43699999999999983,2.9330000000000003
1773-02-01,1.4209999999999998,3.0210000000000004
1773-03-01,4.4220000000000015,2.083
1773-04-01,9.415,2.095
1773-05-01,12.764000000000001,2.537
1773-06-01,12.811,1.259
1773-07-01,14.484000000000002,1.085
1773-08-01,13.624,1.162
1773-09-01,12.488,1.676
1773-10-01,9.206,1.874
1773-11-01,3.369,4.817
1773-12-01,5.090999999999998,3.787
1774-01-01,-0.3249999999999997,4.557
1774-02-01,4.914,5.124
1774-03-01,5.643,2.779
1774-04-01,10.153,3.849
1774-05-01,16.025,2.535
1774-06-01,15.371,3.891
1774-07-01,16.521,3.806
1774-08-01,14.099,1.947
1774-09-01,10.936,2.115
1774-10-01,8.59,2.625
1774-11-01,3.029,4.4830000000000005
1774-12-01,0.31000000000000005,3.2710000000000004
1775-01-01,4.261,3.435
1775-02-01,6.4270000000000005,3.139
1775-03-01,7.7589999999999995,2.394
1775-04-01,7.951999999999999,1.538
1775-05-01,11.399000000000001,1.846
1775-06-01,12.314,2.805
1775-07-01,14.719000000000001,1.058
1775-08-01,14.435,1.093
1775-09-01,11.095999999999998,1.459
1775-10-01,10.372,2.116
1775-11-01,8.179,4.56
1775-12-01,1.2839999999999998,2.404
1776-01-01,-0.8059999999999999,4.467
1776-02-01,4.825,3.762
1776-03-01,4.652,2.388
1776-04-01,7.439999999999999,1.404
1776-05-01,10.475,5.237
1776-06-01,14.564,2.4330000000000003
1776-07-01,14.107999999999999,1.3030000000000002
1776-08-01,14.837,3.437
1776-09-01,10.602,2.065
1776-10-01,8.059999999999999,2.152
1776-11-01,5.87,2.7880000000000003
1776-12-01,5.021,2.934
1777-01-01,6.021000000000001,3.11
1777-02-01,4.9190000000000005,5.268
1777-03-01,5.572,2.307
1777-04-01,6.361999999999999,1.401
1777-05-01,11.389000000000001,2.117
1777-06-01,12.323,1.607
1777-07-01,12.743,1.078
1777-08-01,12.815,1.269
1777-09-01,11.379000000000001,2.692
1777-10-01,6.956,3.464
1777-11-01,5.529,2.276
1777-12-01,3.0669999999999997,2.725
1778-01-01,2.521,3.544
1778-02-01,6.0939999999999985,3.569
1778-03-01,4.604,4.151
1778-04-01,10.983999999999998,1.69
1778-05-01,11.286,1.673
1778-06-01,11.731,3.975
1778-07-01,15.037,2.216
1778-08-01,12.869000000000002,2.658
1778-09-01,13.377,2.35
1778-10-01,8.049,3.608
1778-11-01,3.8539999999999996,2.675
1778-12-01,2.101,2.361
1779-01-01,1.4700000000000002,2.802
1779-02-01,5.14,4.959
1779-03-01,6.9670000000000005,3.017
1779-04-01,9.965,3.0860000000000003
1779-05-01,14.18,1.863
1779-06-01,12.547,2.14
1779-07-01,13.659,1.858
1779-08-01,13.799000000000001,1.4780000000000002
1779-09-01,12.683,1.809
1779-10-01,9.35,1.544
1779-11-01,5.7700000000000005,2.258
1779-12-01,2.269,3.256
1780-01-01,2.515,3.438
1780-02-01,4.08,3.179
1780-03-01,5.724,2.381
1780-04-01,13.732000000000001,3.0580000000000003
1780-05-01,15.756999999999998,1.419
1780-06-01,14.747,2.9810000000000003
1780-07-01,16.183,1.3
1780-08-01,12.947000000000001,3.131
1780-09-01,8.844,2.104
1780-10-01,9.376,1.873
1780-11-01,6.706,2.596
1780-12-01,2.5839999999999996,3.5580000000000003
1781-01-01,2.401,4.948
1781-02-01,2.267,3.5810000000000004
1781-03-01,4.772,2.443
1781-04-01,6.922999999999999,2.076
1781-05-01,11.102,1.838
1781-06-01,11.678,1.385
1781-07-01,14.285,1.696
1781-08-01,14.140999999999998,1.004
1781-09-01,10.303999999999998,3.69
1781-10-01,8.546999999999999,1.2819999999999998
1781-11-01,7.523,1.676
1781-12-01,3.2880000000000003,4.427
1782-01-01,0.3410000000000002,3.547
1782-02-01,0.6389999999999998,4.862
1782-03-01,2.565,2.221
1782-04-01,8.617999999999999,2.154
1782-05-01,10.989999999999998,1.474
1782-06-01,13.800999999999998,1.517
1782-07-01,13.925,2.96
1782-08-01,15.683,2.487
1782-09-01,12.398,1.7280000000000002
1782-10-01,8.978,1.826
1782-11-01,4.956,2.4730000000000003
1782-12-01,1.921,3.358
1783-01-01,-1.4310000000000005,5.292999999999998
1783-02-01,5.2940000000000005,3.683
1783-03-01,4.7989999999999995,2.597
1783-04-01,8.574,1.564
1783-05-01,11.819,2.906
1783-06-01,14.34,1.541
1783-07-01,13.069,1.3430000000000002
1783-08-01,13.970999999999998,1.6130000000000002
1783-09-01,9.957999999999998,1.439
1783-10-01,7.356999999999998,2.6210000000000004
1783-11-01,2.1959999999999997,2.2
1783-12-01,2.224,3.133
1784-01-01,2.596,3.347
1784-02-01,0.989,2.842
1784-03-01,3.9189999999999996,3.258
1784-04-01,8.142000000000001,1.272
1784-05-01,10.013,1.538
1784-06-01,12.803,1.8
1784-07-01,14.947,1.803
1784-08-01,15.860999999999999,2.595
1784-09-01,10.265999999999998,1.068
1784-10-01,6.8359999999999985,1.68
1784-11-01,4.5569999999999995,2.522
1784-12-01,3.415,3.343
1785-01-01,0.865,2.754
1785-02-01,1.045,2.408
1785-03-01,2.289,4.215
1785-04-01,6.379,1.45
1785-05-01,9.853,2.088
1785-06-01,13.744000000000002,2.653
1785-07-01,14.468,2.215
1785-08-01,14.466,2.046
1785-09-01,10.497,1.143
1785-10-01,7.350999999999999,1.732
1785-11-01,5.526,2.261
1785-12-01,1.8730000000000002,1.909
1786-01-01,0.7630000000000001,2.436
1786-02-01,2.657,2.463
1786-03-01,5.648,2.27
1786-04-01,9.318,3.079
1786-05-01,11.582999999999998,2.387
1786-06-01,13.035,1.295
1786-07-01,15.294,2.311
1786-08-01,14.455,3.35
1786-09-01,12.158,2.9330000000000003
1786-10-01,7.712000000000001,1.4380000000000002
1786-11-01,5.7410000000000005,3.837
1786-12-01,0.7339999999999995,2.506
1787-01-01,2.845,3.176
1787-02-01,2.563,2.842
1787-03-01,4.698,3.1260000000000003
1787-04-01,7.7719999999999985,1.5219999999999998
1787-05-01,11.403,1.364
1787-06-01,14.369000000000002,2.099
1787-07-01,13.450999999999999,2.425
1787-08-01,13.555,1.4369999999999998
1787-09-01,10.357000000000001,1.5630000000000002
1787-10-01,7.7719999999999985,3.312
1787-11-01,5.801,2.844
1787-12-01,1.7959999999999998,2.631
1788-01-01,0.7350000000000001,2.9930000000000003
1788-02-01,3.5810000000000004,4.039
1788-03-01,5.336,3.057
1788-04-01,8.713999999999999,2.657
1788-05-01,10.428,1.336
1788-06-01,13.808,1.262
1788-07-01,16.468,2.9160000000000004
1788-08-01,13.885,1.5319999999999998
1788-09-01,11.699000000000002,1.261
1788-10-01,9.349,2.132
1788-11-01,6.111000000000001,1.682
1788-12-01,1.2519999999999998,5.827000000000001
1789-01-01,3.7060000000000004,4.039
1789-02-01,1.675,2.576
1789-03-01,3.989,1.595
1789-04-01,7.693999999999999,1.507
1789-05-01,11.666,2.228
1789-06-01,13.507,1.042
1789-07-01,15.462,1.922
1789-08-01,13.84,1.298
1789-09-01,12.018,1.189
1789-10-01,7.39,1.836
1789-11-01,5.9639999999999995,1.586
1789-12-01,3.099,1.606
1790-01-01,2.444,1.94
1790-02-01,2.9730000000000003,2.5980000000000003
1790-03-01,4.582,1.914
1790-04-01,6.052999999999999,2.314
1790-05-01,10.357000000000001,1.057
1790-06-01,13.746,1.226
1790-07-01,13.812000000000001,1.6569999999999998
1790-08-01,13.925,1.269
1790-09-01,11.233,1.524
1790-10-01,8.577,1.297
1790-11-01,5.331,1.565
1790-12-01,2.755,2.899
1791-01-01,1.493,5.035
1791-02-01,3.466,2.44
1791-03-01,4.79,2.249
1791-04-01,9.127,1.617
1791-05-01,9.859,1.256
1791-06-01,13.231,1.314
1791-07-01,13.612,1.0590000000000002
1791-08-01,13.744000000000002,0.807
1791-09-01,11.677,1.248
1791-10-01,8.08,1.019
1791-11-01,6.206,1.793
1791-12-01,3.5260000000000002,1.568
1792-01-01,0.3480000000000003,2.516
1792-02-01,3.62,2.434
1792-03-01,4.428999999999999,1.692
1792-04-01,7.994,1.368
1792-05-01,11.321,1.101
1792-06-01,13.581,1.406
1792-07-01,14.212,1.362
1792-08-01,12.280999999999999,1.395
1792-09-01,12.491,1.072
1792-10-01,8.097000000000001,1.39
1792-11-01,5.306,2.145
1792-12-01,3.388,2.524
1793-01-01,0.5209999999999999,2.674
1793-02-01,4.745,2.624
1793-03-01,5.042,2.145
1793-04-01,8.642999999999999,1.904
1793-05-01,11.059000000000001,1.544
1793-06-01,13.146,1.91
1793-07-01,14.335999999999999,2.864
1793-08-01,13.16,1.746
1793-09-01,12.002,2.325
1793-10-01,8.392999999999999,1.661
1793-11-01,5.666,3.635
1793-12-01,2.037,2.261
1794-01-01,3.71,3.869
1794-02-01,3.605,5.138
1794-03-01,5.696000000000001,1.805
1794-04-01,9.367,1.219
1794-05-01,12.376,1.063
1794-06-01,11.994000000000002,1.159
1794-07-01,12.874,1.283
1794-08-01,13.484000000000002,0.989
1794-09-01,11.896,1.57
1794-10-01,9.108,1.29
1794-11-01,5.284,2.087
1794-12-01,2.918,2.276
1795-01-01,2.7310000000000003,2.506
1795-02-01,4.39,3.3360000000000003
1795-03-01,5.709,1.959
1795-04-01,8.918,1.88
1795-05-01,11.029000000000002,2.444
1795-06-01,13.293,0.987
1795-07-01,14.295,2.165
1795-08-01,13.14,1.135
1795-09-01,11.133,1.3969999999999998
1795-10-01,7.7860000000000005,2.202
1795-11-01,5.207000000000001,2.269
1795-12-01,2.573,2.24
1796-01-01,2.8440000000000003,2.096
1796-02-01,2.736,2.019
1796-03-01,3.477,2.044
1796-04-01,7.773,1.16
1796-05-01,11.273,0.955
1796-06-01,14.216,2.923
1796-07-01,14.314,0.964
1796-08-01,14.722000000000001,2.777
1796-09-01,12.012,1.919
1796-10-01,8.924,1.283
1796-11-01,5.702000000000001,1.456
1796-12-01,1.2590000000000001,3.452
1797-01-01,4.396,2.397
1797-02-01,4.957,2.564
1797-03-01,4.056,2.948
1797-04-01,6.6,3.3110000000000004
1797-05-01,10.417,2.432
1797-06-01,13.852,1.014
1797-07-01,14.107000000000001,1.6130000000000002
1797-08-01,14.04,1.713
1797-09-01,12.459000000000001,1.7719999999999998
1797-10-01,9.191,1.332
1797-11-01,4.777,1.727
1797-12-01,3.275,1.725
1798-01-01,2.6790000000000003,1.967
1798-02-01,3.213,2.0340000000000003
1798-03-01,7.007999999999999,2.537
1798-04-01,8.083,1.85
1798-05-01,11.768999999999998,2.029
1798-06-01,13.246,0.7929999999999999
1798-07-01,14.950999999999999,1.281
1798-08-01,14.754000000000001,2.047
1798-09-01,11.627,1.6869999999999998
1798-10-01,8.655,1.024
1798-11-01,6.031000000000001,2.629
1798-12-01,2.027,2.962
1799-01-01,1.923,2.229
1799-02-01,2.0780000000000003,2.891
1799-03-01,3.986,1.5619999999999998
1799-04-01,8.786,2.533
1799-05-01,11.353,1.545
1799-06-01,13.68,0.873
1799-07-01,14.869000000000002,1.308
1799-08-01,14.085999999999999,1.083
1799-09-01,12.311,1.378
1799-10-01,9.606,1.369
1799-11-01,5.904,1.894
1799-12-01,3.487,2.196
1800-01-01,2.815,1.844
1800-02-01,3.634,2.6
1800-03-01,4.452,2.613
1800-04-01,9.125,2.168
1800-05-01,11.097000000000001,1.725
1800-06-01,13.606,1.169
1800-07-01,13.763,0.933
1800-08-01,13.619000000000002,1.4169999999999998
1800-09-01,10.795,1.62
1800-10-01,9.469,1.643
1800-11-01,5.572,1.264
1800-12-01,3.864,1.628
1801-01-01,2.6870000000000003,1.922
1801-02-01,3.1489999999999996,2.045
1801-03-01,6.455,1.336
1801-04-01,7.404,1.619
1801-05-01,12.123,1.541
1801-06-01,12.536,0.877
1801-07-01,14.675999999999998,1.56
1801-08-01,13.187000000000001,1.223
1801-09-01,11.462,1.384
1801-10-01,9.099,1.267
1801-11-01,5.72,1.681
1801-12-01,4.5779999999999985,2.525
